"","2019-04-18 sedentary less than 20 mins","2019-04-18 sedentary more than 20 mins","2019-04-18 sedentary all bouts","2019-04-18 stepping less than 20 mins","2019-04-18 stepping more than 20 mins","2019-04-18 stepping all bouts","2019-04-18 all bouts less than 20 mins","2019-04-18 all bouts more than 20 mins","2019-04-18 all bouts","2019-04-20 sedentary less than 20 mins","2019-04-20 sedentary more than 20 mins","2019-04-20 sedentary all bouts","2019-04-20 stepping less than 20 mins","2019-04-20 stepping more than 20 mins","2019-04-20 stepping all bouts","2019-04-20 all bouts less than 20 mins","2019-04-20 all bouts more than 20 mins","2019-04-20 all bouts","2019-04-21 sedentary less than 20 mins","2019-04-21 sedentary more than 20 mins","2019-04-21 sedentary all bouts","2019-04-21 stepping less than 20 mins","2019-04-21 stepping more than 20 mins","2019-04-21 stepping all bouts","2019-04-21 all bouts less than 20 mins","2019-04-21 all bouts more than 20 mins","2019-04-21 all bouts","combined sedentary less than 20 mins","combined sedentary more than 20 mins","combined sedentary all bouts","combined stepping less than 20 mins","combined stepping more than 20 mins","combined stepping all bouts","combined all bouts less than 20 mins","combined all bouts more than 20 mins","combined all bouts"
"num bouts",447,11,458,450,NA,450,897,11,908,649,10,659,491,NA,491,1140,10,1150,185,7,192,1504,NA,1504,1689,7,1696,1281,28,1309,2445,NA,2445,3726,28,3754
"average duration",58.3087248322148,3738.63636363636,146.700873362445,3.78755555555556,NA,3.78755555555556,30.9569676700111,3738.63636363636,75.8737885462555,67.4984591679507,3167.54,114.540060698027,3.68553971486762,NA,3.68553971486762,40.0141228070175,3167.54,67.21,86.9648648648649,2832.2,187.0515625,0.933045212765957,NA,0.933045212765957,10.3563055062167,2832.2,22.0030660377358,67.1030444964871,3308.06428571429,136.428418640183,2.01116564417178,NA,2.01116564417178,24.3897745571659,3308.06428571429,48.8817527970165
"min duration",0.3,1308.5,0.3,0.7,NA,0.7,0.3,1308.5,0.3,0.3,1224,0.3,0.9,NA,0.9,0.3,1224,0.3,0.3,1509.9,0.3,0.7,NA,0.7,0.3,1509.9,0.3,0.3,1224,0.3,0.7,NA,0.7,0.3,1224,0.3
"max duration",1098.4,11173.4,11173.4,5.9,NA,5.9,1098.4,11173.4,11173.4,1072.5,9902.8,9902.8,5.9,NA,5.9,1072.5,9902.8,9902.8,771.9,4492,4492,5.8,NA,5.8,771.9,4492,4492,1098.4,11173.4,11173.4,5.9,NA,5.9,1098.4,11173.4,11173.4
"median duration",22.7,2569.6,23.3,3.9,NA,3.9,5.7,2569.6,5.7,25.1,1986.85,26.4,3.7,NA,3.7,9.2,1986.85,9.95,26.2,2454.2,29.3,0.7,NA,0.7,0.7,2454.2,0.7,24.6,2435.5,25.2,0.7,NA,0.7,3.2,2435.5,3.3
"duration interquartile range",42.35,1973.3,44.975,2.4,NA,2.4,18.8,1973.3,19.85,46,1850.8,47.65,2.15,NA,2.15,26.2,1850.8,26.8,77.8,1386.25,99.125,0,NA,0,0.2,1386.25,0.3,47,1855.45,51.8,2.7,NA,2.7,12.5,1855.45,12.775
"duration stddev",119.82337184123,3447.89496367645,769.634029542813,1.38006028652984,NA,1.38006028652984,88.8351668756829,3447.89496367645,550.968467669636,135.89509853657,2650.42074655663,508.041359609188,1.3171454384663,NA,1.3171454384663,107.26886490939,2650.42074655663,388.355554650215,145.418721165244,1175.56543983452,574.381437556145,0.806455842910133,NA,0.806455842910133,55.0271684047612,1175.56543983452,201.634217117824,132.196178669379,2682.01145193433,620.989418539431,1.71965688280072,NA,1.71965688280072,83.4456573403871,2682.01145193433,372.163754323271
"duration coeff of variation",205.498186053675,92.2233303354188,524.628116999224,36.4367008295252,NA,36.4367008295252,286.9633997187,92.2233303354188,726.164434683191,201.330667709664,83.6744207352275,443.549057432914,35.7381968549376,NA,35.7381968549376,268.077512099246,83.6744207352275,577.824065838737,167.215485692079,41.5071477944539,307.07117859876,86.4326649851664,NA,86.4326649851664,531.339755975038,41.5071477944539,916.391455499956,197.004740487295,81.0749495865743,455.175999787281,85.5054822452921,NA,85.5054822452921,342.133778829334,81.0749495865743,761.355174534548
